	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
62040	100005799	12/19/2017	12	1	1	 	Employee 53	Team 2	73,1958333333334	 	73,1958333333333	 	 	 	ok	 	ok	ok	 	,15
62045	100005800	5/18/2017	5	1	1	 	Employee 53	Team 2	25,2211538461539	 	28,1240384615385	 	 	 	ok	 	ok	ok	 	,15
62075	100005801	10/6/2017	10	1	1	 	Employee 53	Team 2	67,6	 	67,6	 	overdue	 	 	 	overdue	ok	8	,15
62122	100005804	5/22/2017	5	1	1	 	Employee 53	Team 2	63,8	 	61,9625	 	 	 	ok	 	ok	ok	 	,15
62127	100005804	6/19/2017	6	1	1	 	Employee 53	Team 2	63,8	 	63,8	 	overdue	 	 	 	overdue	ok	9	,15
62137	100005804	8/16/2017	8	1	1	 	Employee 53	Team 2	65,6	 	65,6	 	 	 	ok	 	ok	ok	 	,15
62142	100005804	9/13/2017	9	1	1	 	Employee 53	Team 2	65,6	 	65,6	 	overdue	 	 	 	overdue	ok	9	,15
62168	100005806	6/19/2017	6	1	1	 	Employee 53	Team 2	64,5	 	62,75	 	overdue	 	 	 	overdue	ok	9	,15
62179	100005806	8/16/2017	8	1	1	 	Employee 53	Team 2	71,75	 	71,75	 	 	 	ok	 	ok	ok	 	,15
62215	100005808	5/22/2017	5	1	1	 	Employee 53	Team 2	63,8	 	58,8285714285714	 	 	 	ok	 	ok	ok	 	,15
62220	100005808	6/19/2017	6	1	1	 	Employee 53	Team 2	63,8	 	63,8	 	overdue	 	 	 	overdue	ok	9	,15
62232	100005808	8/16/2017	8	1	1	 	Employee 53	Team 2	65,6	 	65,6	 	 	 	ok	 	ok	ok	 	,15
62237	100005808	9/13/2017	9	1	1	 	Employee 53	Team 2	65,6	 	65,6	 	overdue	 	 	 	overdue	ok	9	,15
62265	100005809	6/22/2017	6	 	 	1	Employee 53	Team 2	45,5625	 	50,5275	 	overdue	 	 	 	overdue	ok	6	,15
62275	100005809	7/25/2017	7	 	 	1	Employee 53	Team 2	58,5	 	50,165625	 	 	 	ok	 	ok	ok	 	,15
62279	100005809	8/14/2017	8	1	1	 	Employee 53	Team 2	57	 	54,5	 	 	 	ok	 	ok	ok	 	,15
62302	100005809	12/18/2017	12	1	1	 	Employee 53	Team 2	56,625	 	51,05625	 	 	 	ok	 	not ok	ok	 	,15
62311	100005812	6/13/2017	6	1	1	 	Employee 52	Team 2	61,775	 	61,325	 	 	 	ok	 	not ok	ok	 	,15
62339	100005812	12/19/2017	12	1	1	 	Employee 52	Team 2	60,875	 	61,4375	 	 	 	ok	 	ok	ok	 	,15
62355	100005816	10/6/2017	10	1	1	 	Employee 53	Team 2	48,5625	 	56,9291666666667	 	overdue	 	 	 	overdue	ok	8	,15
62402	100005819	6/13/2017	6	1	1	 	Employee 53	Team 2	41,9714285714286	 	33,7728571428571	 	 	 	ok	 	ok	ok	 	,15
62449	100005820	10/6/2017	10	1	1	 	Employee 53	Team 2	46,1625	 	57,0416666666667	 	overdue	 	 	 	overdue	ok	8	,15
62469	100005822	6/16/2017	6	1	1	 	Employee 53	Team 2	48,1625	 	50,721875	 	 	 	ok	 	ok	ok	 	,15
62486	100005822	9/22/2017	9	 	 	1	Employee 53	Team 2	60,5	 	52,85	 	 	 	ok	 	not ok	ok	 	,15
62489	100005822	10/5/2017	10	1	1	 	Employee 53	Team 2	45,9	 	51,8	 	overdue	 	 	 	overdue	ok	9	,15
62576	100005828	6/12/2017	6	1	1	 	Employee 56	Team 11	28,7238095238095	 	29,9488095238095	 	overdue	 	 	 	overdue	ok	6	,15
62640	100005890	9/21/2017	9	1	1	 	Employee 55	Team 11	37,9041666666667	 	35,6541666666667	 	 	 	ok	 	ok	ok	 	,15
62782	100005911	5/15/2017	5	1	1	 	Employee 55	Team 11	20,43	 	19,4925	 	 	 	ok	 	ok	ok	 	,15
62853	100005925	6/27/2017	6	1	1	 	Employee 62	Team 7	46,9528571428571	 	49,6242857142857	 	 	 	ok	 	ok	ok	 	,15
62857	100005925	7/18/2017	7	1	1	 	Employee 62	Team 7	42,525	 	43,6319642857143	 	 	 	ok	 	ok	ok	 	,15
62862	100005925	8/15/2017	8	1	1	 	Employee 62	Team 7	42,525	 	47,025	 	 	 	ok	 	ok	ok	 	,15
62866	100005925	9/5/2017	9	1	1	 	Employee 62	Team 7	51,525	 	51,885	 	 	 	ok	 	ok	ok	 	,15
62873	100005925	10/17/2017	10	1	1	 	Employee 62	Team 7	37,4625	 	39,6	 	 	 	ok	 	ok	ok	 	,15
62876	100005925	10/31/2017	11	1	1	 	Employee 62	Team 7	37,4625	 	37,4625	 	overdue	 	 	 	overdue	ok	8	,15
62884	100005925	12/19/2017	12	1	1	 	Employee 62	Team 7	37,4625	 	40,41	 	 	 	ok	 	ok	ok	 	,15
62890	100005927	5/16/2017	5	1	1	 	Employee 62	Team 7	27,2892857142857	 	27,5273809523809	 	 	 	ok	 	ok	ok	 	,15
62897	100005927	6/27/2017	6	1	1	 	Employee 62	Team 7	28,0035714285714	 	28,0035714285714	 	 	 	ok	 	ok	ok	 	,15
62927	100005927	12/19/2017	12	1	1	 	Employee 62	Team 7	27,85	 	27,7285714285714	 	 	 	ok	 	ok	ok	 	,15
62932	100005928	5/16/2017	5	1	1	 	Employee 62	Team 7	37,95	 	39,2625	 	 	 	ok	 	ok	ok	 	,15
62939	100005928	6/27/2017	6	1	1	 	Employee 62	Team 7	40,575	 	41,559375	 	 	 	ok	 	ok	ok	 	,15
62943	100005928	7/18/2017	7	1	1	 	Employee 62	Team 7	42,6	 	42,09375	 	 	 	ok	 	ok	ok	 	,15
62948	100005928	8/15/2017	8	1	1	 	Employee 62	Team 7	42,6	 	50,25625	 	 	 	ok	 	ok	ok	 	,15
63039	100005933	5/10/2017	5	1	1	 	Employee 57	Team 7	43,2442307692308	 	41,9067307692308	 	overdue	 	 	 	overdue	ok	3	,15
63053	100005933	8/9/2017	8	1	1	 	Employee 57	Team 7	49,575	 	55,575	 	 	 	ok	 	ok	ok	 	,15
63064	100005933	10/18/2017	10	1	1	 	Employee 57	Team 7	37,3791666666667	 	42,2666666666667	 	 	 	ok	 	ok	ok	 	,15
63122	100005942	11/17/2017	11	1	1	 	Employee 59	Team 7	32,508	 	52,5480222222222	 	 	 	ok	 	ok	ok	 	,15
63165	100005963	6/12/2017	6	1	1	 	Employee 60	Team 7	39,0778846153846	 	39,5387019230769	 	 	 	ok	 	ok	ok	 	,15
63171	100005963	7/17/2017	7	1	1	 	Employee 60	Team 7	33,1666666666667	 	38,8347222222222	 	 	 	ok	 	ok	ok	 	,15
63176	100005963	8/14/2017	8	1	1	 	Employee 60	Team 7	39,8291666666667	 	40,2979166666667	 	 	 	ok	 	ok	ok	 	,15
63180	100005963	9/4/2017	9	1	1	 	Employee 60	Team 7	42,5666666666667	 	46,6364583333334	 	 	 	ok	 	ok	ok	 	,15
63265	100005966	7/17/2017	7	1	1	 	Employee 60	Team 7	75,5894736842105	 	77,2152046783626	 	 	 	ok	 	ok	ok	 	,15
