SAPECCSalesGroup	TERRID	CustomerID	month	Visits
Team 1	Employee 42	100002003	12	0
Team 1	Employee 42	100002004	5	0
Team 1	Employee 42	100002006	5	1
Team 1	Employee 42	100002006	6	0
Team 1	Employee 42	100002006	7	1
Team 1	Employee 42	100002006	8	1
Team 1	Employee 42	100002006	9	1
Team 1	Employee 42	100002006	10	0
Team 1	Employee 42	100002006	11	1
Team 1	Employee 42	100002006	12	0
Team 1	Employee 42	100002016	5	1
Team 1	Employee 42	100002016	6	0
Team 1	Employee 42	100002016	7	1
Team 1	Employee 42	100002016	8	1
Team 1	Employee 42	100002016	9	1
Team 1	Employee 42	100002016	10	0
Team 1	Employee 42	100002016	11	1
Team 1	Employee 42	100002016	12	0
Team 1	Employee 42	100003868	5	0
Team 1	Employee 42	100003868	6	1
Team 1	Employee 42	100003868	7	0
Team 1	Employee 42	100003868	8	0
Team 1	Employee 42	100003868	9	0
Team 1	Employee 42	100003868	10	0
Team 1	Employee 42	100003868	11	1
Team 1	Employee 42	100003868	12	1
Team 1	Employee 42	100003869	5	0
Team 1	Employee 42	100003869	6	1
Team 1	Employee 42	100003869	7	0
Team 1	Employee 42	100003869	8	0
Team 1	Employee 42	100003869	9	0
Team 1	Employee 42	100003869	10	0
Team 1	Employee 42	100003869	11	1
Team 1	Employee 42	100003869	12	1
Team 1	Employee 42	100003948	5	0
Team 1	Employee 42	100003948	6	0
Team 1	Employee 42	100003948	7	0
Team 1	Employee 42	100003948	8	1
Team 1	Employee 42	100003948	9	0
Team 1	Employee 42	100003948	10	0
Team 1	Employee 42	100003948	11	0
Team 1	Employee 42	100003948	12	0
Team 1	Employee 42	100003949	5	0
Team 1	Employee 42	100003949	6	1
Team 1	Employee 42	100003949	7	0
Team 1	Employee 42	100003949	8	0
Team 1	Employee 42	100003949	9	0
Team 1	Employee 42	100003949	10	1
Team 1	Employee 42	100003949	11	0
Team 1	Employee 42	100003949	12	0
Team 1	Employee 42	100005268	5	0
Team 1	Employee 42	100005268	6	0
Team 1	Employee 42	100005268	7	0
Team 1	Employee 42	100005268	8	0
Team 1	Employee 42	100005268	9	0
Team 1	Employee 42	100005268	10	0
Team 1	Employee 42	100005268	11	0
Team 1	Employee 42	100005268	12	1
Team 1	Employee 42	100007212	5	0
Team 1	Employee 42	100007212	6	1
Team 1	Employee 42	100007212	7	0
Team 1	Employee 42	100007212	8	0
Team 1	Employee 42	100007212	9	0
Team 1	Employee 42	100007212	10	0
Team 1	Employee 42	100007212	11	1
Team 1	Employee 42	100007212	12	1
Team 1	Employee 42	100007248	5	0
Team 1	Employee 42	100007248	6	1
Team 1	Employee 42	100007248	7	0
Team 1	Employee 42	100007248	8	0
Team 1	Employee 42	100007248	9	0
Team 1	Employee 42	100007248	10	1
Team 1	Employee 42	100007248	11	0
Team 1	Employee 42	100007248	12	1
Team 1	Employee 42	100007249	5	0
Team 1	Employee 42	100007249	6	0
Team 1	Employee 42	100007249	7	0
Team 1	Employee 42	100007249	8	1
Team 1	Employee 42	100007249	9	0
Team 1	Employee 42	100007249	10	0
Team 1	Employee 42	100007249	11	1
Team 1	Employee 42	100007249	12	0
Team 1	Employee 42	100009156	5	1
Team 1	Employee 42	100009156	6	0
Team 1	Employee 42	100009156	7	1
Team 1	Employee 42	100009156	8	0
Team 1	Employee 42	100009156	9	0
Team 1	Employee 42	100009156	10	0
Team 1	Employee 42	100009156	11	0
Team 1	Employee 42	100009156	12	0
Team 1	Employee 42	100017045	5	0
Team 1	Employee 42	100017045	6	0
Team 1	Employee 42	100017045	7	1
Team 1	Employee 42	100017045	8	0
Team 1	Employee 42	100017045	9	1
Team 1	Employee 42	100017045	10	1
Team 1	Employee 42	100017045	11	0
Team 1	Employee 42	100017045	12	0
Team 1	Employee 42	100017047	5	0
Team 1	Employee 42	100017047	6	1
Team 1	Employee 42	100017047	7	0
Team 1	Employee 42	100017047	8	0
Team 1	Employee 42	100017047	9	0
Team 1	Employee 42	100017047	10	1
Team 1	Employee 42	100017047	11	0
Team 1	Employee 42	100017047	12	0
Team 1	Employee 42	100017050	5	0
Team 1	Employee 42	100017050	6	0
Team 1	Employee 42	100017050	7	0
Team 1	Employee 42	100017050	8	0
Team 1	Employee 42	100017050	9	0
Team 1	Employee 42	100017050	10	0
Team 1	Employee 42	100017050	11	0
Team 1	Employee 42	100017050	12	0
Team 1	Employee 42	100017156	5	0
Team 1	Employee 42	100017156	6	0
Team 1	Employee 42	100017156	7	0
Team 1	Employee 42	100017156	8	1
Team 1	Employee 42	100017156	9	0
Team 1	Employee 42	100017156	10	0
Team 1	Employee 42	100017156	11	1
Team 1	Employee 42	100017156	12	0
Team 1	Employee 42	100017390	5	1
Team 1	Employee 42	100017390	6	0
Team 1	Employee 42	100017390	7	0
Team 1	Employee 42	100017390	8	0
Team 1	Employee 42	100017390	9	0
Team 1	Employee 42	100017390	10	1
Team 1	Employee 42	100017390	11	0
Team 1	Employee 42	100017390	12	1
Team 1	Employee 42	100022068	5	1
Team 1	Employee 42	100022068	6	0
Team 1	Employee 42	100022068	7	1
Team 1	Employee 42	100022068	8	0
Team 1	Employee 42	100022068	9	1
Team 1	Employee 42	100022068	10	1
Team 1	Employee 42	100022068	11	0
Team 1	Employee 42	100022068	12	1
Team 1	Employee 42	100022078	5	1
Team 1	Employee 42	100022078	6	0
Team 1	Employee 42	100022078	7	1
Team 1	Employee 42	100022078	8	0
Team 1	Employee 42	100022078	9	1
Team 1	Employee 42	100022078	10	0
Team 1	Employee 42	100022078	11	0
Team 1	Employee 42	100022078	12	1
Team 1	Employee 42	100023044	5	0
Team 1	Employee 42	100023044	6	0
Team 1	Employee 42	100023044	7	0
Team 1	Employee 42	100023044	8	0
Team 1	Employee 42	100023044	9	0
Team 1	Employee 42	100023044	10	1
Team 1	Employee 42	100023044	11	0
Team 1	Employee 42	100023044	12	0
Team 1	Employee 42	100023176	5	1
Team 1	Employee 42	100023176	6	0
Team 1	Employee 42	100023176	7	0
Team 1	Employee 42	100023176	8	0
Team 1	Employee 42	100023176	9	1
Team 1	Employee 42	100023176	10	1
Team 1	Employee 42	100023176	11	0
Team 1	Employee 42	100023176	12	1
Team 1	Employee 42	100023274	5	0
Team 1	Employee 42	100023274	6	0
Team 1	Employee 42	100023274	7	0
Team 1	Employee 42	100023274	8	1
Team 1	Employee 42	100023274	9	0
Team 1	Employee 42	100023274	10	0
Team 1	Employee 42	100023274	11	1
Team 1	Employee 42	100023274	12	0
Team 1	Employee 42	100023563	5	0
Team 1	Employee 42	100023563	6	0
Team 1	Employee 42	100023563	7	1
Team 1	Employee 42	100023563	8	0
Team 1	Employee 42	100023563	9	1
Team 1	Employee 42	100023563	10	1
Team 1	Employee 42	100023563	11	0
Team 1	Employee 42	100023563	12	0
Team 1	Employee 42	100023570	5	0
Team 1	Employee 42	100023570	6	1
