XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
126260	100023213	2017-12-07	12	 	 	1	Employee 45	Team 4	84.05		87.975	 	 	 	 	 	 	 
126314	100023217	2017-12-28	12	 	 	1	Employee 41	Team 1	97.475		82.00399999999999	 	 	 	 	 	 	 
126315	100023217	2017-12-29	12	 	 	1	Employee 41	Team 1	97.475		82.00399999999999	 	 	 	 	 	 	 
126450	100023223	2017-11-24	11	 	 	1	Employee 51	Team 2	43.9		37.439	 	 	 	 	 	 	 
126547	100023229	2017-12-28	12	 	 	1	Employee 39	Team 6	65.38600000000001		64.126	 	 	 	 	 	 	 
126565	100023230	2017-12-22	12	 	 	1	Employee 39	Team 6	80.797		63.797	 	 	 	 	 	 	 
126703	100023243	2017-12-28	12	 	 	1	Employee 57	Team 7	80.274		68.097	 	 	 	 	 	 	 
126836	100023251	2017-06-16	6	 	 	1	Employee 61	Team 7	63.586999999999996		37.217	 	 	 	 	 	 	 
126840	100023251	2017-06-30	6	 	 	1	Employee 61	Team 7	88.038		37.217	 	 	 	 	 	 	 
126862	100023257	2017-08-25	8	 	 	1	Employee 29	Team 5	83.85		73.033	 	 	 	 	 	 	 
126885	100023261	2017-12-26	12	 	 	1	Employee 46	Team 4	81.062		80.16199999999999	 	 	 	 	 	 	 
127073	100023274	2017-10-26	10	 	 	1	Employee 42	Team 1	72.92		77.663	 	 	 	 	 	 	 
127110	100023281	2017-11-23	11	 	 	1	Employee 65	Team 12	70.74600000000001		70.74600000000001	 	 	 	 	 	 	 
127709	100023344	2017-10-27	10	 	 	1	Employee 43	Team 1	82.49600000000001		78.657	 	 	 	 	 	 	 
127714	100023344	2017-11-24	11	 	 	1	Employee 43	Team 1	83.079		80.345	 	 	 	 	 	 	 
127738	100023345	2017-08-24	8	 	 	1	Employee 46	Team 4	85.984		70.169	 	 	 	 	 	 	 
127749	100023345	2017-10-26	10	 	 	1	Employee 46	Team 4	89.184		79.14399999999999	 	 	 	 	 	 	 
127894	100023379	2017-08-23	8	 	 	1	Employee 46	Team 4	84.86200000000001		61.431000000000004	 	 	 	 	 	 	 
127933	100023380	2017-08-24	8	 	 	1	Employee 46	Team 4	87.307		66.498	 	 	 	 	 	 	 
127943	100023380	2017-10-26	10	 	 	1	Employee 46	Team 4	85.90299999999999		80.104	 	 	 	 	 	 	 
127989	100023381	2017-10-20	10	 	 	1	Employee 45	Team 4	91.662		90.527	 	 	 	 	 	 	 
128227	100023400	2017-07-28	7	 	 	1	Employee 48	Team 4	58.28		56.23	 	 	 	 	 	 	 
128252	100023400	2017-12-29	12	 	 	1	Employee 48	Team 4	65.6		65.28699999999999	 	 	 	 	 	 	 
128467	100023413	2017-12-15	12	 	 	1	Employee 34	Team 6	80.1		80.1	 	 	 	 	 	 	 
128513	100023415	2017-12-29	12	 	 	1	Employee 35	Team 6	63.65		53.57	 	 	 	 	 	 	 
128539	100023416	2017-10-05	10	 	 	1	Employee 35	Team 6	68.736		58.986000000000004	 	 	 	 	 	 	 
